C(w1;w2),collocation,tag pattern
1210,"('ba', 'nda')",NN
1208,"('Mustafa', 'Kemal')",NN
1207,"('al', 'nm')",AN
1202,"('Kayseri', 'Milletvekili')",NN
1199,"('ri', 'ni')",NN
1194,"('Erkan', 'Akçay')",NN
1193,"('Kanun', 'km')",NN
1186,"('tarihi', 'Ardahan')",AN
1186,"('temel', 'kanun')",AN
1184,"('YILDIZ', 'Antalya')",AN
1183,"('bir', 'sm')",AN
1182,"('Bazı', 'Kanunlarda')",AN
1180,"('Köyişleri', 'Bakanından')",NN
1179,"('Devamla', 'Teşekkür')",NN
1179,"('ilişkin', 'Tarım')",NN
1178,"('SUHA', 'OKAY')",NN
1177,"('er', 'eve')",AN
1177,"('HAKKI', 'SUHA')",NN
1170,"('RIZA', 'ÖZTÜRK')",NN
